HITId,HITTypeId,Title,Description,Keywords,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.Modifier,Input.Aspect,Answer.sentiment.label,Approve,Reject
31ODACBEO44XGX3WR3DH2D6YM4SSQE,3NB4XF0P16ZCATF4ZBWWFPMR3JDL2D,Modifier/Aspect Sentiment analysis describing a set of headphones extracted from amazon reviews.,Determine if a modifier (adjective) describes an aspect (noun) in a positive or negative way.,"sentiment, text",Wed May 25 13:37:38 PDT 2022,1,BatchId:4748228;OriginalHitTemplateId:928390909;,180,259200,Wed Jun 01 13:37:38 PDT 2022,,,3PH3VY7DJWM1OQJQO6BXFFGBOEVWZ9,A2HM35CWB7IIFM,Approved,Wed May 25 13:40:05 PDT 2022,Wed May 25 13:40:08 PDT 2022,Sat May 28 13:40:08 PDT 2022,Wed May 25 13:42:31 PDT 2022,,,3,100% (24/24),100% (24/24),100% (24/24),worst,part,Very Negative,,
3RBI0I35YOS25I93SYTA7R1OTXAY3V,3NB4XF0P16ZCATF4ZBWWFPMR3JDL2D,Modifier/Aspect Sentiment analysis describing a set of headphones extracted from amazon reviews.,Determine if a modifier (adjective) describes an aspect (noun) in a positive or negative way.,"sentiment, text",Wed May 25 13:37:38 PDT 2022,1,BatchId:4748228;OriginalHitTemplateId:928390909;,180,259200,Wed Jun 01 13:37:38 PDT 2022,,,39ZSFO5CAJLYW7PHBKTA9X7OK07JUC,A3F4HFW1BAGQTX,Approved,Wed May 25 13:39:32 PDT 2022,Wed May 25 13:40:18 PDT 2022,Sat May 28 13:40:18 PDT 2022,Wed May 25 13:52:03 PDT 2022,,,46,100% (60/60),100% (60/60),100% (60/60),loud,starts,Neutral,,
382GHPVPI2GM7BVJ3R53R2XHYWC34G,3NB4XF0P16ZCATF4ZBWWFPMR3JDL2D,Modifier/Aspect Sentiment analysis describing a set of headphones extracted from amazon reviews.,Determine if a modifier (adjective) describes an aspect (noun) in a positive or negative way.,"sentiment, text",Wed May 25 13:37:38 PDT 2022,1,BatchId:4748228;OriginalHitTemplateId:928390909;,180,259200,Wed Jun 01 13:37:38 PDT 2022,,,3KV0LJBBHDAWHN3LANBXKECLHVYRMK,A2E6Z6NDAES26P,Approved,Wed May 25 13:39:42 PDT 2022,Wed May 25 13:39:47 PDT 2022,Sat May 28 13:39:47 PDT 2022,Wed May 25 13:42:16 PDT 2022,,,5,100% (33/33),100% (33/33),100% (33/33),static,hiss,Negative,,
30UZJB2PPR143UZJHWODWU3VYS735L,3NB4XF0P16ZCATF4ZBWWFPMR3JDL2D,Modifier/Aspect Sentiment analysis describing a set of headphones extracted from amazon reviews.,Determine if a modifier (adjective) describes an aspect (noun) in a positive or negative way.,"sentiment, text",Wed May 25 13:37:38 PDT 2022,1,BatchId:4748228;OriginalHitTemplateId:928390909;,180,259200,Wed Jun 01 13:37:38 PDT 2022,,,32Q90QCQ13ACIVYD35EH6ULYD1DKEV,A3DZXOPAS51NAH,Approved,Wed May 25 13:39:47 PDT 2022,Wed May 25 13:39:54 PDT 2022,Sat May 28 13:39:54 PDT 2022,Wed May 25 13:42:28 PDT 2022,,,7,100% (45/45),100% (45/45),100% (45/45),good,set,Neutral,,
3VCK0Q0PPF3CCR6S292GOD5AM1N0ND,3NB4XF0P16ZCATF4ZBWWFPMR3JDL2D,Modifier/Aspect Sentiment analysis describing a set of headphones extracted from amazon reviews.,Determine if a modifier (adjective) describes an aspect (noun) in a positive or negative way.,"sentiment, text",Wed May 25 13:37:38 PDT 2022,1,BatchId:4748228;OriginalHitTemplateId:928390909;,180,259200,Wed Jun 01 13:37:38 PDT 2022,,,33CID5710FIKS30YZL9M23UGBCS3LQ,AH3DN1SZFWS70,Approved,Wed May 25 13:38:43 PDT 2022,Wed May 25 13:38:53 PDT 2022,Sat May 28 13:38:53 PDT 2022,Wed May 25 13:52:03 PDT 2022,,,10,100% (26/26),100% (26/26),100% (26/26),good,quality,Very Positive,,
3G3AJKPCYVHNNES7SCYTHWTU7X6Y4G,3NB4XF0P16ZCATF4ZBWWFPMR3JDL2D,Modifier/Aspect Sentiment analysis describing a set of headphones extracted from amazon reviews.,Determine if a modifier (adjective) describes an aspect (noun) in a positive or negative way.,"sentiment, text",Wed May 25 13:37:38 PDT 2022,1,BatchId:4748228;OriginalHitTemplateId:928390909;,180,259200,Wed Jun 01 13:37:38 PDT 2022,,,3LEP4MGT3RP6XMGJ1XQ419KNQV3BD9,A2J6KSVZHPBMVB,Approved,Wed May 25 13:39:11 PDT 2022,Wed May 25 13:39:37 PDT 2022,Sat May 28 13:39:37 PDT 2022,Wed May 25 13:52:03 PDT 2022,,,26,100% (25/25),100% (25/25),100% (25/25),longer,cpu,Negative,,
3QMELQS6ZF0S50KZX5ZE6YKB01XR6S,3NB4XF0P16ZCATF4ZBWWFPMR3JDL2D,Modifier/Aspect Sentiment analysis describing a set of headphones extracted from amazon reviews.,Determine if a modifier (adjective) describes an aspect (noun) in a positive or negative way.,"sentiment, text",Wed May 25 13:37:38 PDT 2022,1,BatchId:4748228;OriginalHitTemplateId:928390909;,180,259200,Wed Jun 01 13:37:38 PDT 2022,,,3MRNMEIQWGVIAV2VSAFYFCGS2PHLD6,A2FAA1LR6UERGL,Approved,Wed May 25 13:40:18 PDT 2022,Wed May 25 13:40:23 PDT 2022,Sat May 28 13:40:23 PDT 2022,Wed May 25 13:52:03 PDT 2022,,,5,100% (21/21),100% (21/21),100% (21/21),long,line,Positive,,
3QTFNPMJDG79ECCI63F8UC8W485NZR,3NB4XF0P16ZCATF4ZBWWFPMR3JDL2D,Modifier/Aspect Sentiment analysis describing a set of headphones extracted from amazon reviews.,Determine if a modifier (adjective) describes an aspect (noun) in a positive or negative way.,"sentiment, text",Wed May 25 13:37:38 PDT 2022,1,BatchId:4748228;OriginalHitTemplateId:928390909;,180,259200,Wed Jun 01 13:37:38 PDT 2022,,,3GLB5JMZF8K2O3OUHJII2KBK68VDGS,A3DZXOPAS51NAH,Approved,Wed May 25 13:38:47 PDT 2022,Wed May 25 13:39:03 PDT 2022,Sat May 28 13:39:03 PDT 2022,Wed May 25 13:52:04 PDT 2022,,,16,100% (45/45),100% (45/45),100% (45/45),wireless,headsets,Neutral,,
3OZ4VAIBF74WM2GNQ8YDGZEJ7DUVJV,3NB4XF0P16ZCATF4ZBWWFPMR3JDL2D,Modifier/Aspect Sentiment analysis describing a set of headphones extracted from amazon reviews.,Determine if a modifier (adjective) describes an aspect (noun) in a positive or negative way.,"sentiment, text",Wed May 25 13:37:38 PDT 2022,1,BatchId:4748228;OriginalHitTemplateId:928390909;,180,259200,Wed Jun 01 13:37:38 PDT 2022,,,32RIADZIS3TSECESJ8B6OU0HH6W4SQ,A1NBAUGDQPVMHH,Approved,Wed May 25 13:39:26 PDT 2022,Wed May 25 13:41:51 PDT 2022,Sat May 28 13:41:51 PDT 2022,Wed May 25 13:52:04 PDT 2022,,,145,100% (32/32),100% (32/32),100% (32/32),long,time,Positive,,
35ZRNT9RVSNQB451MBKC503MFNC3OQ,3NB4XF0P16ZCATF4ZBWWFPMR3JDL2D,Modifier/Aspect Sentiment analysis describing a set of headphones extracted from amazon reviews.,Determine if a modifier (adjective) describes an aspect (noun) in a positive or negative way.,"sentiment, text",Wed May 25 13:37:45 PDT 2022,1,BatchId:4748228;OriginalHitTemplateId:928390909;,180,259200,Wed Jun 01 13:37:45 PDT 2022,,,3VW6495TLUP5854L7LR2M5SPTSSYYK,A2E6Z6NDAES26P,Approved,Wed May 25 13:42:09 PDT 2022,Wed May 25 13:42:14 PDT 2022,Sat May 28 13:42:14 PDT 2022,Wed May 25 13:49:35 PDT 2022,,,5,100% (33/33),100% (33/33),100% (33/33),great,independence,Positive,,
