review_id,star_rating,review_body
R17U6AU06HR16Q,5,Great product.
R31Y01GPXH7P64,4,work great sounds amazing
RG40FO7CNWOG7,5,Works tremendously well.
R2CI6TXIGZR6RU,5,THEY WORK GREAT
R37KF8VRBUZNQD,5,Works fine
RA8R84N9JMZLD,3,"My Dad loves this, only issue is charging, it does not make proper connection and he has to place something on headphones so they charge. I don't think this should be correct"
R2NB7PGJTPZUAB,1,Had this item 3 months and it no longer works.  Waste of money.
RJXYVQYSFYFVT,5,Just what I wanted
R2KGCZF402GV0K,5,great sound
R1KL6IIDB77A2O,4,I would not have paid the original price for these (about $200) because they are basically plastic and a little bit flimsy. I'm really not certain how durable they are.<br />(one star off for that)<br />...but at this lower price I'd say they are worth it.<br />They worked right out of the box and as described and are still working fine.
RTKB08FJST786,5,was very satisfied&#34;
R1Y35MXN8055J9,5,Works like a charm!  Just love the perfect sound after I take my hearing aids out.
R2AHSOYQURZM5X,2,"These are akward to wear.  I bought them so I could listen while working around the house - cooking, cleaning, riding the exercycle, etc.  Due to the design if I even bend over slightly they fall off and there is no way to adjust them.  Sound quality and ease of use is acceptable."
R12MK47HAZGBFQ,3,Poorly designed? Why the transmitter receives signal when plugged directly into a cable or satellite box and not directly into the television.  Unable to use when viewing blue ray movies as well.
R1ZUB8KAZQBHJ4,3,Some what touchy adjustment but once set works well
R17TX4USVAAEI7,2,The power plug from the wall unit would not mate properly with the receptacle on the rear of the transmitter unit.The plug would not fully seat down in the receptacle. A gap between the plug and receptacle was clearly evident. The power light on the transmitter would not come on no matter how firmly we pressed on the yellow plug. We tried twisting the plug while turning but it would not fully seat. I am very disappointed in this product and its manufacturer as it appears that a quality check may  not have been made before the unit was shipped. I have already shipped a previous similar item back because it was listed on a page with wireless items and it was not.
R14IRNBU0CFBPH,5,Nice Headphones.  Great value.
R25N5KMSGEYDS7,5,"i bought these headphones to be able to watch TV shows in the same room as my husband, when he's working and can be distracted by the TV sound. Our TV is outdoors, and gets signal from a cable box inside the house using wireless HDMI - about 30ft away from where we sit, and through the exterior cement wall of the house. After reading some other reviews, I was worried the sound quality would be poor and that I'd have to return them, but the sound quality is great and the lip/voice sync is better than with the wireless HDMI hookup. The setup of the headphones was very easy - less than 5 minutes to get the batteries in and connect the base to the cable box indoors. Overall, I'm very happy with them!"
RITVNUXNUN8IP,5,Excelents earphones
R2X5EP1XSOIZ0A,5,"I bought these for my mother, who was turning the volume on the TV so High, no one wanted to watch with her.  Now she can here and we can all enjoy our favorite shows to gether again.  Thanks"
R13RGCK6KS7JC3,5,"Bought these for y husband several years ago and they still work perfectly.  Read all the reviews on head phones, and this one rated high, and did not disappoint. He watches TV is front room and I watch in family room, Works for us and I cannot hear his TV."
R37TDCI38RVCFU,1,Bought for my husband to use with HDTV and it was not adaptable for our set.
R3QUSHJC7UTMKC,2,"UPDATE:<br />Easy to set up.  Hooked to TV so volume no longer bothers wife...  things were great for a while.  This is the second pair of RS120 I have had.  BOTH pair developed severe static problems.  When the volume or tuning wheels were touched or pressed or tapped the static would disappear temporarily, the headphones seem to last about two years... which is the warranty period."
R16IHU0VO1VWK6,5,Works great!
R2XXT8SGIC38NA,1,"http://www.amazon.com/gp/product/B0001FTVEK?redirect=true&ref_=cm_cr_ryp_prd_ttl_sol_0<br />Good sound for sure.<br />However, the cord from the base to plug-in has totally disintegrated.  Little pieces of cheap plastic all the way down the cord to bare wire. To repair they need to be rewired.  I called Sennheiser and there is no recourse.  You must pay to send to them. Pay them to repair cord pay then for return shipping.  They do not stand behind their product very disappointing and expensive!<br />Would never buy their product again."
R11YZM6GJVDE6X,5,GREAT set of headphones. Crystal clear and very comfortable! Charge pretty quickly too.
R1EICG0YSHMC2G,5,"Love it.  Had no problem installing, and once the batteries charged It was excellent.  No problems so far."
R1WXTBLDBSEDOR,3,"I am giving this 3 stars with the hopes that people may actually read what i got to say. Do NOT buy this headphone set! I used for a day and packed it for a return with the speed of light. I am a musician. My ear is trained to sounds. The white noise you are about to experience with these headphones is going to drive you crazy. No matter what the frequency you set the dock at - that noise will be there, lower, or louder, it is there and does not go away. Another thing i absolutely hate about these headphones is all the wires that they take in order to function. When think wireless you don't expect a ton of wires. The dock needs to be plugged into an outlet. It is retarded. One would think the dock would charge and then function without being plugged in at all times. Think about this- wanting to use these headphones on your laptop- you have to tie down your laptop to the dock, which is wired to the wall making your laptop stuck at a very rigid position. Cant do much. Defies its purpose. And even if you lets say hold your laptop sitting right next to an outlet- there are wires all over you. The padding on the headphones feels cheap like an 80s walkman. These headphones also do not seal very well. Everyone within 3 feet radius will hear exactly what you are doing. And there is no bass. God, if you listen to anything with a deep bass, these headphones sound like they are about to fall apart. And of course, just like everyone else, i found the tuner nob right next to the volume absolutely impractical. Lets say you laid down on your couch listening to an audio book, if you moved a little too much, chances are, you'd hit that tuner and the clarity of the connection goes to hell. Last but not least, they are unreasonably stupid expensive for what you get. I paid an extra 10 $ and got a pair of studio AKGs that come with a 3 meter cable instead. Best decision ever. Just like these were the worst decision ever. Sennheiser have another pair thats like 29$ and that pair is notwireless but it is miles better more durable and sound efficient than these disgusting waste of money headphones."
R1MB8MM4ZKC2FT,5,Met or exceeded all my expectations.
R2NUW4HBCDVRAN,5,Just as described works  perfect I would recommend this product to family and friends
R2TH52QXMLA6FC,5,These are perfect to keep from disturbing the neighbors.  I can walk to the mail box and not miss any of the audible books or baseball game.
R3EX9Z72JZ079Q,4,Works fine. Please be advised you may need an Analog Audio Decoder and optical cable at an additional cost of about $60 if your TV has WiFi and other features
RMV9VEFY6DZUL,5,"Great sound. Easy to use. Love the wireless charging.  For price, they're great headphones."
R2RMM8RC53NWGU,5,Great!
R3C8L2B8OUNV7S,5,Finally can understand English and Scottish dialogue on PBS shows. These are great and no disturbing others.
R1OH4W69Z5MFGQ,5,Good quality
