Input.Modifier,Input.Aspect,Answer.sentiment.label
older,unit,negative
clear,audio,very positive
great,unit,very positive
great,headphones,very positive
wireless,headphones,neutral
independent,volume,neutral
excellent,quality,very positive
Great,purchase,very positive
second,pair,neutral
annoying,buzz,negative
wireless,headphones,nuetral
overall,material,nuetral
sound,quality,neutral
average,headphones,positive
wireless,headphones,neutral
better,material,positive
good,quality,positive
different,brands,nuetral
wireless,headphones,nuetral
cheap,ones,nuetral
wireless,headphones,neutral
automatic,circuit,nuetral
sound,quality,nuetral
sound,quality,neutral
pretty narrow,window,neutral
acceptable,sound,positive
sweet,spot,neutral
noticeable,hiss,negative
better,sound,positive
better,quality,positive
not noticeable,hiss,na
wide,range,pisitive
good,headphones,positive
awful,sound,very negative
poor,quality,negative
dramatically,quality,negative
difficult,controls,negative
excellent,sound,very positive
described,Product,neutral
quickly,Order,positive
process,Order,positive
close,neighborhood,neutral
Awesome,earphones,very positive
excellent,VALUE,very positive
very light,sleeper,nuetral
sleeper,husband,nuetral
General,overview,nuetral
higher,volume, nuetral
initial,charge,nuetral
flat,tho,nuetral
indented,pieces,neutral
sufficient,padding,positive
left,headphone,nuetral
right,headphone,neutral
incredible,sound,very positive
little,volume,negative
extra,volume,nuetral
sound,quality,neutral
appropriate,levels,neutral
Much better,,na
exceptional,quality,very positive
valume,ranger,na
forward,u,na
unknown,something,neutral
long,distance,neutral
preferred,volume,positive
finally,wife,na
1,bonuses,na
Easy,installation,positive
excellent,reception,very positive
definite,upgrade,positive
sound,quality,neutral
rechargeable,battery,positive
decent,range,positive
BEST,gift,vefry positive
Good,quality,positive
Good,price,positive
best,investments,very positive
great,surroundis,very positive
replaceable,battery,positive
larger,adapter,neutral
worse,design,very negative
fine,tune,nuetral
todays,aging,nuetral
wireless charging,aging,nuetral
independently,speakers,nuetral
n't tone,button,na
really good,sound,very positive
poor,attachment,negative
overall,operation,nuetral
loose,Headphones,negative
very noisy,environment,negative
best,friend,nuetral
wireless,headset,nuetral
close,8,nuetral
different,job,nuetral
Great,purchase,very positive
Great,sound,very positive
personal,preference,nuetral
non,issue,nuetral
Great,sound,very positive
overall,quality,neutral
Great,thing,very positive
sound,quality,neutral
good,quality,positive
great,comment,positive
Excellent,product,very positive
closed,caption,neutral
away,tv,nuetral
not correctly,UPDATE-,nuetral
Clear,sound,positive
strong,sound,positive
high,quality,positive
reasonable,price,positive
sound,quality,neutral
bad,nose,negative
easily,settings,positive
Great,sound,very positive
not clear,noise,negative
excellent,range,very positive
not very comfortable,noise,negative
best,way,positive
wireless,headphones,neutral
very small,house,negative
fantastic,job,positive
awesome,quality,very positive
sound,quality,neutral
wireless,headphones,nuetral
quick,update,positive
multi,effects,positive
FANTASTIC,clarity,very positive
playing,efficiency,neutral
best,purchases,very positive
simple,Setup,positive
significantly,quality,positive
perfectly,headphones,very positive
significantly,efficiency,positive
great,headphones,very positive
different,adapters,neutral
great,sound,very positive
GREAT,price,very positive
Good,quality,positive
repeated,tune,neujtral
repeated,re,neutral
-,headphones,nuetral
tune,headphones,nuetral
current,programs,nuetral
Great,quality,very positive
multiple,times,neutral
stable,base,nuetral
sound,quality,nuetral
little,heavy,nuetral
soft,pillows,nuetral
great,sound,very positive
worth,Headphones,neutral
perfectly,headphones,very positive
"1,2,3",set,neutral
horrible,product,very negative
bad,reception,negative
clear,reception,positive
audio,reception,neutral
new,item,neutral
extra,headset,nuetral
new,headset,nuetral
good,productPS,positive
good,bass,positive
very good,sound,very positive
Outstanding,speakers,very positive
Amazing,quality,very positive
exceptional,quality,very posiitive
good,job,positive
poor,job,negative
high backed,chair,neutral
sound,quality,neutral
minutest,sound,neutral
inferior,system,negative
rate,quality,neutral
wonderful,device,very positive
comfortable,manner,positive
clear,audio,positive
low,volume,negative
bad,headphone,negative
audible,tv,neutral
good,headphones,positive
good,tone,positive
Great,product,very positive
old,father,neutral
better,father,nuetral
sound,quality,nuetral
silly,complaint,nuetral
giant,fingers,nuetral
multiple,walls,nuetral
awesome,quality,very positive
disappointment,headphones,negative
bass,audio,neutral
worse.4,hissing,negative
continuous,play,neutral
loud,R120,positive
concern,volume,negative
great,is,positive
little,bit,neutral
heavy,supper,NA
supper,range,neutral
excellent,product,positive
Best,sound,positive
wireless,sound,neutral
very fine,hair,neutral
set,same,neutral
deafening,noise,negative
excellent,Sound,positive
little,loose,negative
great,sound,positive
better,quality,positive
Great,product,positiive
way loud,problem,negative
great,thing,posistive
normal,volume,positive
very good,performance,very positive
acoustical,performance,neutral
