,asp,sum_of_squares
0,"('wireless', 'headphones')",232.75
1,"('second', 'set')",4.75
2,"('clear', 'sound')",26.0
3,"('sound', 'quality')",870.0
4,"('great', 'headphones')",19.0
5,"('second', 'pair')",11.2
6,"('good', 'sound')",60.75
7,"('rechargeable', 'batteries')",4.666666666666666
8,"('good', 'range')",16.666666666666668
9,"('great', 'quality')",58.75
10,"('Sound', 'quality')",4.5
11,"('great', 'product')",34.75
12,"('great', 'range')",18.666666666666668
13,"('great', 'sound')",60.666666666666664
14,"('good', 'quality')",83.0
15,"('long', 'time')",11.2
